Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
Mazda,2017,CX-5,SUV,2017 Mazda CX-5 Akera (4X4),USED,Automatic,AWD,Unleaded,7.4,61011,Silver / -,New South Wales,SUV,4,5,35800,4,2.5,Australia
Mitsubishi,2019,Pajero,SUV,2019 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat,USED,Automatic,4WD,Diesel,8.0,50213,White / Grey,New South Wales,SUV,4,7,56490,4,2.4,Australia
Subaru,2018,Outback,SUV,2018 Subaru Outback 2.0D,USED,Automatic,AWD,Diesel,6.3,96300,- / -,New South Wales,SUV,4,5,27990,4,2.0,Australia
LDV,2021,T60,Ute / Tray,2021 LDV T60 PRO (4X4),USED,Automatic,4WD,Diesel,8.5,29876,Grey / -,New South Wales,Ute / Tray,4,5,28388,4,2.8,Australia
Ford,2006,Focus,Hatchback,2006 Ford Focus CL,USED,Automatic,Front,Unleaded,8.0,172472,Silver / Grey,New South Wales,Hatchback,5,5,6990,4,2.0,Australia
MG,2019,ZS,SUV,2019 MG ZS Excite,USED,Automatic,Front,Unleaded,6.7,46328,Silver / -,New South Wales,SUV,4,5,22990,3,1.0,Australia
Ford,2017,Ranger,Ute / Tray,2017 Ford Ranger XLT 3.2 (4X4),USED,Automatic,4WD,Diesel,9.0,150002,Blue / -,New South Wales,Ute / Tray,4,5,34990,5,3.2,Australia
Toyota,2022,Camry,Sedan,2022 Toyota Camry Ascent Hybrid,USED,Automatic,Front,Hybrid,4.5,26524,Blue / -,New South Wales,Sedan,4,5,42990,4,2.5,Australia
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,Front,Unleaded,8.1,54368,Silver / -,New South Wales,SUV,4,7,28990,4,2.5,Australia
Mazda,2010,BT-50,Ute / Tray,2010 Mazda BT-50 Boss B3000 Freestyle DX+,USED,Manual,Rear,Diesel,8.3,267899,White / -,New South Wales,Ute / Tray,2,4,10950,4,3.0,Australia
Ford,2010,Ranger,Ute / Tray,2010 Ford Ranger XL (4X4),USED,Manual,4WD,Diesel,9.3,243558,White / Grey,New South Wales,Ute / Tray,2,2,12888,4,3.0,Australia
Holden,2016,Trailblazer,SUV,2016 Holden Trailblazer LTZ (4X4),USED,Automatic,4WD,Diesel,9.4,160459,Blue / -,New South Wales,SUV,4,7,27800,4,2.8,Australia
BMW,2016,220I,Convertible,2016 BMW 220I Sport Line,USED,Automatic,Rear,Premium,6.4,54385,Black / -,Victoria,Convertible,2,4,39990,4,2.0,Australia
Kia,2020,RIO,Hatchback,2020 Kia RIO S,USED,Automatic,Front,Unleaded,6.2,59785,Grey / Black,New South Wales,Hatchback,5,5,21590,4,1.4,Australia
Kia,2018,Sportage,SUV,2018 Kia Sportage SI Premium (awd),USED,Automatic,AWD,Diesel,6.4,59764,Silver / Black,New South Wales,SUV,4,5,31990,4,2.0,Australia
BMW,2018,X2,SUV,2018 BMW X2 Sdrive 18I M Sport,USED,Automatic,Front,Premium,6.3,40416,White / -,New South Wales,SUV,4,5,39441,3,1.5,Australia
Nissan,2004,Patrol,SUV,2004 Nissan Patrol ST (4X4),USED,Automatic,4WD,Diesel,0.0,282076,Silver / -,New South Wales,SUV,4,7,29950,4,3.0,Australia
Mitsubishi,2020,Triton,Ute / Tray,2020 Mitsubishi Triton GLS (4X4),USED,Automatic,4WD,Diesel,8.6,43851,White / -,New South Wales,Ute / Tray,4,5,46888,4,2.4,Australia
Toyota,2009,Landcruiser,Ute / Tray,2009 Toyota Landcruiser GX (4X4),USED,Manual,4WD,Diesel,11.5,289999,White / -,New South Wales,Ute / Tray,2,3,55900,8,4.5,Australia
Volvo,2017,XC60,SUV,2017 Volvo XC60 T5 Luxury,USED,Automatic,AWD,Premium,7.9,59243,Black / -,New South Wales,SUV,4,5,31882,4,2.0,Australia
Toyota,2018,86,Coupe,2018 Toyota 86 GTS+,USED,Automatic,Rear,Premium,7.1,27836,Grey / Black,New South Wales,Coupe,2,4,44990,4,2.0,Australia
Hyundai,2020,Kona,SUV,2020 Hyundai Kona Active (fwd),USED,Automatic,Front,Unleaded,7.2,35624,Grey / -,New South Wales,SUV,4,5,27990,4,2.0,Australia
Ford,2015,Ranger,Ute / Tray,2015 Ford Ranger XLT 3.2 (4X4),USED,Automatic,4WD,Diesel,9.0,108412,Blue / Grey,New South Wales,Ute / Tray,4,5,38990,5,3.2,Australia
Toyota,2014,Hilux,Ute / Tray,2014 Toyota Hilux SR (4X4),USED,Manual,4WD,Diesel,8.3,219035,White / Black,New South Wales,Ute / Tray,4,5,31990,4,3.0,Australia
Mitsubishi,2014,Outlander,SUV,2014 Mitsubishi Outlander ES (4X2),USED,Automatic,Front,Unleaded,6.6,66201,White / -,New South Wales,SUV,4,5,18990,4,2.0,Australia
BMW,2017,740I,Sedan,2017 BMW 740I,USED,Automatic,Rear,Premium,7.0,87314,White / Black,New South Wales,Sedan,4,5,79988,6,3.0,Australia
Porsche,2017,718,Convertible,2017 Porsche 718 Boxster,USED,Automatic,Rear,Unleaded,7.0,43741,Black / -,New South Wales,Convertible,2,2,102900,4,2.0,Australia
Toyota,2013,Landcruiser,SUV,2013 Toyota Landcruiser Sahara (4X4),USED,Automatic,4WD,Diesel,10.3,161365,Grey / -,New South Wales,SUV,4,7,74990,8,4.5,Australia
